label,label_name,setting,n,method,rejection_rate,binomial_se,ci_lower,ci_upper,mean_stat,mean_cutoff,median_cond_sigma_hat,median_cond_sigma_reg,median_lambda,n_tests_per_cell_actual,B_boot_actual,alpha
8,colorectal adenocarcinoma epithelium,H1_source_vs_external,20,cnn_multilayer_gaussian15,0.6826,0.006582662683139703,0.6696979811410462,0.6955020188589538,115.52717862670563,35.41522017395775,2825207.7222887594,122439.76598321351,4.1744698523246283e-05,5000,500,0.05
8,colorectal adenocarcinoma epithelium,H1_source_vs_external,20,cnn_multilayer_single_gaussian,0.614,0.0068848238902676365,0.6005057451750754,0.6274942548249246,25.2046131578116,10.92554950480567,52.2564166816338,52.15819429297082,4.963029174395011e-05,5000,500,0.05
8,colorectal adenocarcinoma epithelium,H1_source_vs_external,20,raw_pixel_gaussian5,0.6724,0.006637442881110164,0.6593906119530241,0.6854093880469759,97.63193627053244,11.294898471515182,51496674.18919483,47990.44072861737,1.7811752849142198e-05,5000,500,0.05
8,colorectal adenocarcinoma epithelium,H1_source_vs_external,30,cnn_final_fc128_gaussian5,0.721,0.006342854247103586,0.7085680056756769,0.733431994324323,38.842616183493206,13.161537365162193,190687.3573868024,36846.52409949718,3.207136924860429e-05,5000,500,0.05
8,colorectal adenocarcinoma epithelium,H1_source_vs_external,30,cnn_multilayer_gaussian15,0.8254,0.00536870263657804,0.8148773428323071,0.835922657167693,123.55168651377134,35.16923780167397,1228029.3792559349,114629.47370707126,3.8221713026403687e-05,5000,500,0.05
8,colorectal adenocarcinoma epithelium,H1_source_vs_external,30,cnn_multilayer_single_gaussian,0.828,0.005336965429904901,0.8175395477573864,0.8384604522426136,41.795988017718535,10.810412310537288,46.51697423275967,46.44068177351618,4.6816405805463106e-05,5000,500,0.05
8,colorectal adenocarcinoma epithelium,H1_source_vs_external,30,raw_pixel_gaussian5,0.8164,0.005475235885329508,0.8056685376647542,0.8271314623352458,140.7120815035433,11.501397500191215,16270248.75657871,47284.8070811066,1.2888835912323179e-05,5000,500,0.05
8,colorectal adenocarcinoma epithelium,H1_source_vs_external,50,cnn_final_fc128_gaussian5,0.9574,0.002856054621326419,0.9518021329422003,0.9629978670577998,83.01954392412404,13.111448332125129,134798.8381986574,34049.83727234352,2.879261627967763e-05,5000,500,0.05
8,colorectal adenocarcinoma epithelium,H1_source_vs_external,50,cnn_multilayer_gaussian15,0.975,0.0022079402165819627,0.9706724371754993,0.9793275628245006,200.02843502308403,34.78222860232696,691640.8597622875,106088.16029431141,3.522705541915374e-05,5000,500,0.05
8,colorectal adenocarcinoma epithelium,H1_source_vs_external,50,cnn_multilayer_single_gaussian,0.9852,0.0017076861538350679,0.9818529351384833,0.9885470648615167,93.37490106776258,10.721277910283595,42.45733929699786,42.39342733228384,4.445803598976222e-05,5000,500,0.05
8,colorectal adenocarcinoma epithelium,H1_source_vs_external,50,raw_pixel_gaussian5,0.96,0.002771281292110205,0.954568288667464,0.9654317113325359,242.0898167181816,11.730175201425881,5372650.661256085,46200.74470581058,8.83760725250892e-06,5000,500,0.05
8,colorectal adenocarcinoma epithelium,H1_source_vs_external,80,cnn_final_fc128_gaussian5,0.9998,0.00019997999899988897,0.9994080392019602,1.0,185.38981160007881,13.00798099937689,114208.60477144043,32541.902753794453,2.695741594136054e-05,5000,500,0.05
8,colorectal adenocarcinoma epithelium,H1_source_vs_external,80,cnn_multilayer_gaussian15,0.9998,0.00019997999899988897,0.9994080392019602,1.0,377.79594384803454,34.4381929063475,524665.4881804634,100575.98819120524,3.3581308466086715e-05,5000,500,0.05
8,colorectal adenocarcinoma epithelium,H1_source_vs_external,80,cnn_multilayer_single_gaussian,1.0,0.0,1.0,1.0,211.7320836000181,10.697064592433252,40.28876202470058,40.23105721700712,4.3252847493786465e-05,5000,500,0.05
8,colorectal adenocarcinoma epithelium,H1_source_vs_external,80,raw_pixel_gaussian5,0.9974,0.0007201722016295889,0.995988462484806,0.9988115375151939,422.44392546402366,11.942952304682933,2381321.466070286,45008.65965161721,6.5090679113007655e-06,5000,500,0.05
8,colorectal adenocarcinoma epithelium,H1_source_vs_external,100,cnn_final_fc128_gaussian5,1.0,0.0,1.0,1.0,278.2354686991605,13.000116264993101,108584.32702591608,32076.983705676146,2.6311354016597883e-05,5000,500,0.05
8,colorectal adenocarcinoma epithelium,H1_source_vs_external,100,cnn_multilayer_gaussian15,1.0,0.0,1.0,1.0,531.2140074363186,34.41338955254167,482549.29497904563,98840.81858316713,3.296825023044898e-05,5000,500,0.05
8,colorectal adenocarcinoma epithelium,H1_source_vs_external,100,cnn_multilayer_single_gaussian,1.0,0.0,1.0,1.0,317.69030415713587,10.649412849752668,39.51492592071687,39.459335151376024,4.2694657440489684e-05,5000,500,0.05
8,colorectal adenocarcinoma epithelium,H1_source_vs_external,100,raw_pixel_gaussian5,1.0,0.0,1.0,1.0,563.0710742564347,12.004183786614528,1745887.6062437329,44369.86281961654,5.723312055411377e-06,5000,500,0.05
