"outer_iter","noise_sigma","method","reject_rate","source_dir"
10,0,"raw_pixel_gaussian5",0.91,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
10,0,"final_embedding_gaussian5",1,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
10,0.2,"raw_pixel_gaussian5",0.904,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
10,0.2,"final_embedding_gaussian5",1,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
10,0.4,"raw_pixel_gaussian5",0.838,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
10,0.4,"final_embedding_gaussian5",0.764,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
10,0.6,"raw_pixel_gaussian5",0.646,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
10,0.6,"final_embedding_gaussian5",0.176,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
10,0.8,"raw_pixel_gaussian5",0.41,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
10,0.8,"final_embedding_gaussian5",0.118,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
10,1,"raw_pixel_gaussian5",0.232,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
10,1,"final_embedding_gaussian5",0.056,"faster_mnist_testset_paired_raw_vs_final_gaussian5_power"
1,0,"layer1_gaussian5",0.164,"faster_mnist_cnn_layer1_gaussian5_power"
1,0.2,"layer1_gaussian5",0.13,"faster_mnist_cnn_layer1_gaussian5_power"
1,0.4,"layer1_gaussian5",0.082,"faster_mnist_cnn_layer1_gaussian5_power"
1,0.6,"layer1_gaussian5",0.062,"faster_mnist_cnn_layer1_gaussian5_power"
1,0.8,"layer1_gaussian5",0.08,"faster_mnist_cnn_layer1_gaussian5_power"
1,1,"layer1_gaussian5",0.058,"faster_mnist_cnn_layer1_gaussian5_power"
2,0,"layer1_gaussian5",0.126,"faster_mnist_cnn_layer1_gaussian5_power"
2,0.2,"layer1_gaussian5",0.116,"faster_mnist_cnn_layer1_gaussian5_power"
2,0.4,"layer1_gaussian5",0.07,"faster_mnist_cnn_layer1_gaussian5_power"
2,0.6,"layer1_gaussian5",0.05,"faster_mnist_cnn_layer1_gaussian5_power"
2,0.8,"layer1_gaussian5",0.044,"faster_mnist_cnn_layer1_gaussian5_power"
2,1,"layer1_gaussian5",0.056,"faster_mnist_cnn_layer1_gaussian5_power"
3,0,"layer1_gaussian5",0.124,"faster_mnist_cnn_layer1_gaussian5_power"
3,0.2,"layer1_gaussian5",0.116,"faster_mnist_cnn_layer1_gaussian5_power"
3,0.4,"layer1_gaussian5",0.074,"faster_mnist_cnn_layer1_gaussian5_power"
3,0.6,"layer1_gaussian5",0.054,"faster_mnist_cnn_layer1_gaussian5_power"
3,0.8,"layer1_gaussian5",0.08,"faster_mnist_cnn_layer1_gaussian5_power"
3,1,"layer1_gaussian5",0.092,"faster_mnist_cnn_layer1_gaussian5_power"
4,0,"layer1_gaussian5",0.122,"faster_mnist_cnn_layer1_gaussian5_power"
4,0.2,"layer1_gaussian5",0.116,"faster_mnist_cnn_layer1_gaussian5_power"
4,0.4,"layer1_gaussian5",0.06,"faster_mnist_cnn_layer1_gaussian5_power"
4,0.6,"layer1_gaussian5",0.06,"faster_mnist_cnn_layer1_gaussian5_power"
4,0.8,"layer1_gaussian5",0.066,"faster_mnist_cnn_layer1_gaussian5_power"
4,1,"layer1_gaussian5",0.064,"faster_mnist_cnn_layer1_gaussian5_power"
5,0,"layer1_gaussian5",0.142,"faster_mnist_cnn_layer1_gaussian5_power"
5,0.2,"layer1_gaussian5",0.132,"faster_mnist_cnn_layer1_gaussian5_power"
5,0.4,"layer1_gaussian5",0.072,"faster_mnist_cnn_layer1_gaussian5_power"
5,0.6,"layer1_gaussian5",0.068,"faster_mnist_cnn_layer1_gaussian5_power"
5,0.8,"layer1_gaussian5",0.08,"faster_mnist_cnn_layer1_gaussian5_power"
5,1,"layer1_gaussian5",0.036,"faster_mnist_cnn_layer1_gaussian5_power"
6,0,"layer1_gaussian5",0.13,"faster_mnist_cnn_layer1_gaussian5_power"
6,0.2,"layer1_gaussian5",0.13,"faster_mnist_cnn_layer1_gaussian5_power"
6,0.4,"layer1_gaussian5",0.068,"faster_mnist_cnn_layer1_gaussian5_power"
6,0.6,"layer1_gaussian5",0.052,"faster_mnist_cnn_layer1_gaussian5_power"
6,0.8,"layer1_gaussian5",0.066,"faster_mnist_cnn_layer1_gaussian5_power"
6,1,"layer1_gaussian5",0.058,"faster_mnist_cnn_layer1_gaussian5_power"
7,0,"layer1_gaussian5",0.136,"faster_mnist_cnn_layer1_gaussian5_power"
