"n","method","power","q_mean","t_kern","t_cov","t_sel","t_boot","t_stat","t_total","rep"
400,"GEXP_rich_13",0.87,13,0.126810420751572,2.66927980542183,0,1.52552822232246,1.47297182679176,5.79459027528763,4
400,"NEW_13",0.895,4.79,0.131596685647964,0.299893726110458,0.00598071932792664,0.967058255672455,0.603264892101288,2.00779427886009,4
400,"NEW_25",0.845,4,0.123635425567627,0.536894396543503,0.00488039493560791,0.888813291788101,0.493491053581238,2.04771456241608,4
500,"GEXP_5",0.955,5,0.281361657381058,1.18837687373161,0,1.59487963795662,1.05867588281631,4.1232940518856,4
500,"GEXP_rich_13",0.925,13,0.332043068408966,7.3018561899662,0,3.22742866158485,2.72043534636498,13.581763266325,4
500,"NEW_13",0.94,4.68,0.228290625810623,0.486905416250229,0.00606334686279297,1.35715077161789,0.806361784934998,2.88477194547653,4
500,"NEW_25",0.865,4,0.214849948883057,0.862479027509689,0.00525094509124756,1.24711584448814,0.683006209135055,3.01270197510719,4
600,"GEXP_5",0.98,5,0.51178000330925,1.96032652854919,0,2.48355118393898,1.71729173064232,6.67294944643974,4
600,"GEXP_rich_13",0.97,13,0.668554505109787,12.3699470484257,0,5.65795616030693,5.689030367136,24.3854880809784,4
600,"NEW_13",0.945,4.6,0.369476464986801,0.772498614788055,0.00676520824432373,2.04762347698212,1.23891649603844,4.43528026103973,4
600,"NEW_25",0.95,4,0.391428614854813,1.49905390620232,0.00624928951263428,2.0082356774807,1.21964243888855,5.12460992693901,4
700,"GEXP_5",0.995,5,0.799002956151962,2.9514664888382,0,3.58516531705856,2.44749922990799,9.78313399195671,4
700,"GEXP_rich_13",0.995,13,0.816814614534378,19.2838986849785,0,7.24887886285782,6.03491720199585,33.3845093643665,4
700,"NEW_13",0.985,4.66,0.552905938625336,1.05454666852951,0.00589438915252686,2.77674080729485,1.70048560738564,6.09057341098785,4
700,"NEW_25",0.985,4,0.505713763236999,1.87258307576179,0.00262301325798035,2.58411523342133,1.47068246126175,6.43571754693985,4
50,"GEXP_5",0.24,5,0.00359518051147461,0.0551871883869171,0,0.065006765127182,0.107370510101318,0.231159644126892,5
50,"GEXP_rich_13",0.24,13,0.00677658915519714,0.197268061637878,0,0.148306243419647,0.24866678237915,0.601017676591873,5
50,"NEW_13",0.185,4.065,0.000992529392242432,0.00381550192832947,0.00375187397003174,0.0468362069129944,0.0807739984989166,0.136170110702515,5
50,"NEW_25",0.155,4.01,0.000829424858093262,0.0063029420375824,0.00441937208175659,0.0476635646820068,0.076114205121994,0.135329508781433,5
100,"GEXP_5",0.43,5,0.00781576037406921,0.0876940739154816,0,0.130845440626144,0.172388978004456,0.398744252920151,5
100,"GEXP_rich_13",0.355,13,0.0151763677597046,0.391095434427261,0,0.288165329694748,0.439004757404327,1.13344188928604,5
100,"NEW_13",0.32,4.46,0.00385765194892883,0.0163024914264679,0.00668542504310608,0.0952970743179321,0.134363428354263,0.256506071090698,5
100,"NEW_25",0.235,4.015,0.00344429135322571,0.0335908949375153,0.0042047131061554,0.0941700994968414,0.117423040866852,0.25283303976059,5
200,"GEXP_5",0.6,5,0.0177925002574921,0.11178679227829,0,0.177179080247879,0.151653921604156,0.458412294387817,5
200,"GEXP_rich_13",0.58,13,0.0235308313369751,0.464293003082275,0,0.333585963249207,0.466152939796448,1.2875627374649,5
200,"NEW_13",0.465,4.68,0.0218266570568085,0.0721591091156006,0.00436346411705017,0.336186587810516,0.233923597335815,0.668459415435791,5
200,"NEW_25",0.44,4,0.0233149528503418,0.133770047426224,0.0046347713470459,0.316343507766724,0.197001984119415,0.67506526350975,5
300,"GEXP_5",0.79,5,0.0851999580860138,0.459881763458252,0,0.730417466163635,0.469489561319351,1.74498874902725,5
300,"GEXP_rich_13",0.76,13,0.0927865707874298,2.29769713878632,0,1.2768054485321,1.10917358636856,4.77646274447441,5
