result_kind,experiment,scenario,setting,label,label_name,n,representation,projection_id,summary_scope,projection_repeats,outer_repetitions,inner_repetitions,tests_per_projection,independent_tests,rejection_rate,power,type1_error,binomial_se,ci_lower,ci_upper,mean_stat,mean_cutoff,mean_cond_sigma_reg,B_boot,alpha
power,center_shift,label6_source_vs_external,H1_source_vs_external,6,normal colon mucosa,50,residual_random8,r02,per_projection,1,10,20,200,200,0.725,0.725,,0.031573327350787724,0.663116278392456,0.7868837216075439,29.259718690659966,14.618750274998416,18646.258267765086,500,0.05
power,center_shift,label6_source_vs_external,H1_source_vs_external,6,normal colon mucosa,50,residual_random8,r03,per_projection,1,10,20,200,200,0.705,0.705,,0.03224709289222828,0.6417956979312325,0.7682043020687674,28.08813507594282,14.209064935525344,20788.348837306447,500,0.05
power,center_shift,label6_source_vs_external,H1_source_vs_external,6,normal colon mucosa,50,residual_random8,r04,per_projection,1,10,20,200,200,0.715,0.715,,0.03191982142807193,0.652437150000979,0.7775628499990209,29.024821837386018,13.88814812321888,25996.25598276915,500,0.05
power,center_shift,label6_source_vs_external,H1_source_vs_external,6,normal colon mucosa,50,residual_random8,r05,per_projection,1,10,20,200,200,0.775,0.775,,0.02952752952754429,0.7171260421260132,0.8328739578739869,27.306381803873254,13.024700408881335,28544.941701678978,500,0.05
power,center_shift,label6_source_vs_external,H1_source_vs_external,6,normal colon mucosa,50,residual_random8,r06,per_projection,1,10,20,200,200,0.375,0.375,,0.03423265984407288,0.30790398670561714,0.44209601329438286,15.199609899090841,14.739690721515347,17722.10869332687,500,0.05
power,center_shift,label6_source_vs_external,H1_source_vs_external,6,normal colon mucosa,50,residual_random8,r07,per_projection,1,10,20,200,200,0.38,0.38,,0.03432200460346103,0.3127288709772164,0.4472711290227836,13.578706481909308,14.637600606956216,17900.944327471832,500,0.05
power,center_shift,label6_source_vs_external,H1_source_vs_external,6,normal colon mucosa,50,residual_random8,r08,per_projection,1,10,20,200,200,0.585,0.585,,0.03484070894801081,0.5167122104618987,0.6532877895381012,20.1285186051919,14.384931558158423,20347.753840107525,500,0.05
power,center_shift,label6_source_vs_external,H1_source_vs_external,6,normal colon mucosa,50,residual_random8,r09,per_projection,1,10,20,200,200,0.725,0.725,,0.031573327350787724,0.663116278392456,0.7868837216075439,27.515429836989156,14.000570001294523,20613.996377338237,500,0.05
power,center_shift,label6_source_vs_external,H1_source_vs_external,6,normal colon mucosa,50,residual_random8,r10,per_projection,1,10,20,200,200,0.945,0.945,,0.016120638945153514,0.9134035476674991,0.9765964523325008,57.686813744888966,14.340153269516595,18752.67841100341,500,0.05
power,center_shift,label6_source_vs_external,H1_source_vs_external,6,normal colon mucosa,50,residual_random8,r11,per_projection,1,10,20,200,200,0.715,0.715,,0.03191982142807193,0.652437150000979,0.7775628499990209,27.04107868356428,14.070567747774668,22540.612058450253,500,0.05
power,center_shift,label6_source_vs_external,H1_source_vs_external,6,normal colon mucosa,50,residual_random8,r12,per_projection,1,10,20,200,200,0.97,0.97,,0.012062338081814825,0.946357817359643,0.993642182640357,78.21752257291237,13.199490096880703,30833.86247375223,500,0.05
power,center_shift,label6_source_vs_external,H1_source_vs_external,6,normal colon mucosa,50,residual_random8,r13,per_projection,1,10,20,200,200,0.505,0.505,,0.03535357124817803,0.4357070003535711,0.574292999646429,22.087600821094476,14.928834929475977,19121.19674168689,500,0.05
power,center_shift,label6_source_vs_external,H1_source_vs_external,6,normal colon mucosa,50,residual_random8,r14,per_projection,1,10,20,200,200,0.85,0.85,,0.025248762345905194,0.8005124258020258,0.8994875741979742,40.128007214725685,14.302199529155159,20154.26344175157,500,0.05
power,center_shift,label6_source_vs_external,H1_source_vs_external,6,normal colon mucosa,50,residual_random8,r15,per_projection,1,10,20,200,200,0.505,0.505,,0.03535357124817803,0.4357070003535711,0.574292999646429,17.46287186252962,14.163210407607675,23788.35985360628,500,0.05
power,center_shift,label6_source_vs_external,H1_source_vs_external,6,normal colon mucosa,50,residual_random8,r16,per_projection,1,10,20,200,200,0.98,0.98,,0.009899494936611668,0.9605969899242411,0.9994030100757588,109.18837188987165,13.528481705008872,25267.563152218172,500,0.05
power,center_shift,label6_source_vs_external,H1_source_vs_external,6,normal colon mucosa,50,residual_random8,r17,per_projection,1,10,20,200,200,0.51,0.51,,0.03534826728426727,0.44071739612283617,0.5792826038771639,17.505510144008987,13.889065729153758,24115.665343483408,500,0.05
