result_kind,experiment,scenario,setting,label,label_name,n,representation,outer_repetitions,inner_repetitions,independent_tests,bootstrap_rejection_rate,permutation_rejection_rate,bootstrap_binomial_se,permutation_binomial_se,mean_stat,mean_bootstrap_cutoff,mean_permutation_cutoff,mean_cond_sigma_reg,B_boot,B_perm,alpha
type1,center_shift,label6_source_vs_external,H0_external,6,normal colon mucosa,20,centered_logits,10,20,200,0.075,0.035,0.018624580532189176,0.012995191418367026,5.947555132304676,12.624214459584682,15.861079562136105,40447.53686442337,500,500,0.05
type1,center_shift,label6_source_vs_external,H0_external,6,normal colon mucosa,20,semantic_centered,10,20,200,0.085,0.035,0.01971991379291502,0.012995191418367026,4.946770223677641,12.64580756514254,15.142695311140349,41851.6602663328,500,500,0.05
type1,center_shift,label6_source_vs_external,H0_external,6,normal colon mucosa,20,residual_full,10,20,200,0.095,0.05,0.020733427116615334,0.015411035007422441,8.21220593701931,13.65431582863432,17.809968633686143,34942.67647862529,500,500,0.05
type1,center_shift,label6_source_vs_external,H0_external,6,normal colon mucosa,20,residual_top8_pca,10,20,200,0.08,0.055,0.01918332609325088,0.016120638945153507,8.196374415972109,13.838294876620525,17.772541570371185,32958.1162082925,500,500,0.05
type1,center_shift,label6_source_vs_external,H0_external,6,normal colon mucosa,20,final_full,10,20,200,0.105,0.055,0.021676600286945368,0.016120638945153507,8.144206007624131,13.237046832957354,17.641585687728046,36731.46274654009,500,500,0.05
type1,center_shift,label6_source_vs_external,H0_external,6,normal colon mucosa,30,centered_logits,10,20,200,0.075,0.07,0.018624580532189176,0.01804161855266872,4.509652414109471,12.610450256164542,11.902487855922367,36829.57084320059,500,500,0.05
type1,center_shift,label6_source_vs_external,H0_external,6,normal colon mucosa,30,semantic_centered,10,20,200,0.09,0.065,0.02023610634484806,0.017432010784760317,4.536593220255082,12.240746523101466,12.222751992405742,38618.40323705306,500,500,0.05
type1,center_shift,label6_source_vs_external,H0_external,6,normal colon mucosa,30,residual_full,10,20,200,0.075,0.055,0.018624580532189176,0.016120638945153507,5.998774433700671,13.574201310019873,14.622734455227569,31974.244670631528,500,500,0.05
type1,center_shift,label6_source_vs_external,H0_external,6,normal colon mucosa,30,residual_top8_pca,10,20,200,0.07,0.055,0.01804161855266872,0.016120638945153507,6.079622594990797,13.674746608451853,15.021747147880037,29954.338144425015,500,500,0.05
type1,center_shift,label6_source_vs_external,H0_external,6,normal colon mucosa,30,final_full,10,20,200,0.075,0.05,0.018624580532189176,0.015411035007422441,5.981795360869494,13.428356045933638,14.506954971261921,33865.86131919744,500,500,0.05
type1,center_shift,label6_source_vs_external,H0_external,6,normal colon mucosa,50,centered_logits,10,20,200,0.085,0.07,0.01971991379291502,0.01804161855266872,4.943107899826912,12.388957268866939,11.700101039902966,35233.43082776909,500,500,0.05
type1,center_shift,label6_source_vs_external,H0_external,6,normal colon mucosa,50,semantic_centered,10,20,200,0.1,0.1,0.021213203435596427,0.021213203435596427,4.830754640910609,12.028813977906971,11.652516478343266,37252.40401241589,500,500,0.05
type1,center_shift,label6_source_vs_external,H0_external,6,normal colon mucosa,50,residual_full,10,20,200,0.09,0.07,0.02023610634484806,0.01804161855266872,5.378330718910093,13.337134894102803,14.256389321305129,29240.56360002949,500,500,0.05
type1,center_shift,label6_source_vs_external,H0_external,6,normal colon mucosa,50,residual_top8_pca,10,20,200,0.085,0.07,0.01971991379291502,0.01804161855266872,5.319279568235739,13.461208585296317,14.293729762055227,27286.272002634672,500,500,0.05
type1,center_shift,label6_source_vs_external,H0_external,6,normal colon mucosa,50,final_full,10,20,200,0.09,0.07,0.02023610634484806,0.01804161855266872,5.452409813966165,13.12901871435163,13.92765922590876,31250.34959527243,500,500,0.05
type1,center_shift,label8_source_vs_external,H0_external,8,colorectal adenocarcinoma epithelium,20,centered_logits,10,20,200,0.095,0.045,0.020733427116615334,0.014658615214269049,7.7616934385115055,12.452454152267265,16.58357498609135,43122.5735678688,500,500,0.05
type1,center_shift,label8_source_vs_external,H0_external,8,colorectal adenocarcinoma epithelium,20,semantic_centered,10,20,200,0.07,0.03,0.01804161855266872,0.012062338081814818,6.8667318560071875,12.40110442973248,16.040772939994564,43401.47414707821,500,500,0.05
type1,center_shift,label8_source_vs_external,H0_external,8,colorectal adenocarcinoma epithelium,20,residual_full,10,20,200,0.105,0.08,0.021676600286945368,0.01918332609325088,6.309638741378595,13.55384005005369,16.83541033220085,38416.87351957083,500,500,0.05
type1,center_shift,label8_source_vs_external,H0_external,8,colorectal adenocarcinoma epithelium,20,residual_top8_pca,10,20,200,0.1,0.09,0.021213203435596427,0.02023610634484806,6.611934723548145,13.657620226115569,17.237851867175003,36538.28440367295,500,500,0.05
type1,center_shift,label8_source_vs_external,H0_external,8,colorectal adenocarcinoma epithelium,20,final_full,10,20,200,0.11,0.085,0.022124646889837587,0.01971991379291502,6.239057114490645,13.509124128076898,16.729739340060775,39490.28266855822,500,500,0.05
type1,center_shift,label8_source_vs_external,H0_external,8,colorectal adenocarcinoma epithelium,30,centered_logits,10,20,200,0.065,0.065,0.017432010784760317,0.017432010784760317,4.063437792353066,12.26791056570264,12.578633237923277,40397.7645716496,500,500,0.05
type1,center_shift,label8_source_vs_external,H0_external,8,colorectal adenocarcinoma epithelium,30,semantic_centered,10,20,200,0.075,0.07,0.018624580532189176,0.01804161855266872,4.7590050042673715,12.257528191851934,12.852192060706507,39958.20082015401,500,500,0.05
type1,center_shift,label8_source_vs_external,H0_external,8,colorectal adenocarcinoma epithelium,30,residual_full,10,20,200,0.07,0.06,0.01804161855266872,0.016792855623746664,5.226398520204665,13.449705467086217,13.802317387500748,35226.680687399625,500,500,0.05
type1,center_shift,label8_source_vs_external,H0_external,8,colorectal adenocarcinoma epithelium,30,residual_top8_pca,10,20,200,0.075,0.045,0.018624580532189176,0.014658615214269049,5.32442651506186,13.619003312570221,14.167189894112434,32948.564743141826,500,500,0.05
type1,center_shift,label8_source_vs_external,H0_external,8,colorectal adenocarcinoma epithelium,30,final_full,10,20,200,0.07,0.05,0.01804161855266872,0.015411035007422441,5.224813482154071,13.295656814931231,13.65809404324282,36578.9264350311,500,500,0.05
type1,center_shift,label8_source_vs_external,H0_external,8,colorectal adenocarcinoma epithelium,50,centered_logits,10,20,200,0.07,0.065,0.01804161855266872,0.017432010784760317,4.301867225831474,12.179802636317014,11.507567639870247,37898.57846522197,500,500,0.05
