train_label,train_label_name,test_label,test_label_name,representation,axis_method,repeat,train_source_n,train_external_n,test_source_n,test_external_n,auc,accuracy,effect_size
8,colorectal adenocarcinoma epithelium,8,colorectal adenocarcinoma epithelium,residual_full,mean_difference,17,863,863,370,370,0.7437326515704894,0.6824324324324325,0.9511495915841189
8,colorectal adenocarcinoma epithelium,8,colorectal adenocarcinoma epithelium,residual_full,logistic_regression,18,863,863,370,370,0.8747406866325785,0.7945945945945946,1.607197517328853
8,colorectal adenocarcinoma epithelium,8,colorectal adenocarcinoma epithelium,residual_full,mean_difference,18,863,863,370,370,0.7506062819576333,0.7040540540540541,0.974328242825709
8,colorectal adenocarcinoma epithelium,8,colorectal adenocarcinoma epithelium,residual_full,logistic_regression,19,863,863,370,370,0.8695617238860482,0.7851351351351351,1.5624261918645592
8,colorectal adenocarcinoma epithelium,8,colorectal adenocarcinoma epithelium,residual_full,mean_difference,19,863,863,370,370,0.7432505478451424,0.6959459459459459,0.9252062786299673
8,colorectal adenocarcinoma epithelium,8,colorectal adenocarcinoma epithelium,residual_full,logistic_regression,20,863,863,370,370,0.8660701241782323,0.7905405405405406,1.521430072602475
8,colorectal adenocarcinoma epithelium,8,colorectal adenocarcinoma epithelium,residual_full,mean_difference,20,863,863,370,370,0.7281665449233017,0.6783783783783783,0.8882100626625233
8,colorectal adenocarcinoma epithelium,6,normal colon mucosa,residual_top8_pca,logistic_regression,1,863,863,1577,741,0.6674762121145995,0.6108714408973253,0.6104194056578572
8,colorectal adenocarcinoma epithelium,6,normal colon mucosa,residual_top8_pca,mean_difference,1,863,863,1577,741,0.5290661901815659,0.5366695427092321,0.11157907755587392
8,colorectal adenocarcinoma epithelium,6,normal colon mucosa,residual_top8_pca,logistic_regression,2,863,863,1577,741,0.6847017304247889,0.6125970664365833,0.6832904167143056
8,colorectal adenocarcinoma epithelium,6,normal colon mucosa,residual_top8_pca,mean_difference,2,863,863,1577,741,0.5354381514979586,0.5263157894736842,0.13604261664526043
8,colorectal adenocarcinoma epithelium,6,normal colon mucosa,residual_top8_pca,logistic_regression,3,863,863,1577,741,0.6824048805492586,0.6052631578947368,0.6783461938306824
8,colorectal adenocarcinoma epithelium,6,normal colon mucosa,residual_top8_pca,mean_difference,3,863,863,1577,741,0.5355793512853887,0.5336496980155306,0.13589592993626115
8,colorectal adenocarcinoma epithelium,6,normal colon mucosa,residual_top8_pca,logistic_regression,4,863,863,1577,741,0.6767218030442674,0.589732528041415,0.6483650211706241
8,colorectal adenocarcinoma epithelium,6,normal colon mucosa,residual_top8_pca,mean_difference,4,863,863,1577,741,0.5361997745937939,0.5245901639344263,0.1358161184828625
8,colorectal adenocarcinoma epithelium,6,normal colon mucosa,residual_top8_pca,logistic_regression,5,863,863,1577,741,0.6880785447350878,0.6259706643658326,0.6902520361554693
